Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79,62,8.4,195,M
Tom Clancys Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,86,32,7.6,81,M
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25,74,22,8.6,137,E
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25,52,37,6.2,107,T
Tom Clancys Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25,87,45,8.6,34,T
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155,T
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0,0.12,1.24,52,15,6.8,4,E
Baldurs Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,87,29,8.3,90,T
Oddworld: Abes Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,85,10,9,97,T
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0,0.23,1.24,76,36,6.4,66,E
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,E
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24,78,9,6.9,34,T
Star Wars Episode III: Revenge of the Sith,X,2005,Action,Activision,0.82,0.38,0,0.04,1.24,61,44,8.1,54,T
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,79,53,7.7,308,M
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0,0.11,1.24,80,49,8.5,74,E10+
Assassins Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24,63,38,7.1,70,M
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.59,0.42,0.13,0.1,1.23,76,81,8.3,664,T
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,32,6,4.6,29,E
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.42,0.62,0,0.2,1.23,73,47,7.4,238,T
Ninja Gaiden,X,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,91,89,8.8,152,M
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.45,0.49,0.11,0.19,1.23,79,60,8.3,208,T
Crash Bandicoot: The Wrath of Cortex,X,2002,Platform,Universal Interactive,0.59,0.57,0,0.07,1.23,70,16,8.1,19,E
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,57,51,5.5,102,M
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,80,22,8.8,39,E
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,0.1,1.23,70,59,6.7,48,T
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75,31,7.3,43,E10+
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0,0.13,1.23,63,6,7.7,9,E10+
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.4,0.74,0,0.09,1.23,96,57,7.9,3826,M
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82,56,7.8,58,E
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,0.09,1.22,78,65,8.2,468,T
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,63,39,7.5,27,E
Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,80,43,8.5,48,E
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,86,29,9.5,150,E
Max Payne,X,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,1.22,89,24,8.1,62,M
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.73,0.37,0.01,0.11,1.22,71,27,5.1,299,M
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16,E
NASCAR Thunder 2003,PS2,2002,Racing,Electronic Arts,0.6,0.46,0,0.16,1.22,84,16,8.7,17,E
Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,71,30,8.4,12,E
Fuzion Frenzy,X,2001,Misc,Microsoft Game Studios,0.93,0.24,0,0.04,1.21,70,28,6.9,16,E
Call of Duty: Finest Hour,X,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,73,55,7.8,22,T
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,85,52,7.7,167,E10+
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,0.1,1.21,69,22,8.5,111,T
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,85,69,8.1,207,T
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21,86,41,8.6,185,E
Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,86,13,9,94,M
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.46,0.15,0.18,1.21,76,34,8.3,131,T
Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83,24,8.8,46,E
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,75,16,7.6,40,T
Bayonetta,PS3,2009,Action,Sega,0.44,0.39,0.21,0.16,1.21,87,54,7.7,356,M
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0,0.12,1.21,85,61,8.6,105,E
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0,0.14,1.2,73,19,8.2,10,T
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0,0.15,1.2,59,19,5.1,20,T
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.86,0.23,0,0.12,1.2,89,11,5.2,393,T
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,37,8.4,16,E
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2,82,36,7.1,57,E
Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,90,54,9.1,140,E
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.51,0,0.2,1.2,81,28,7.5,81,E10+
Cars,PSP,2006,Racing,THQ,0.72,0.28,0,0.2,1.2,70,17,7,4,E
Enter the Matrix,X,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,65,33,7.1,75,T
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68,6,5.4,9,E
NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0,0.15,1.2,92,22,8.5,26,E
The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0,0.02,1.19,55,14,6.8,9,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0,0.04,1.19,71,4,7.7,7,E
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,83,19,8.4,43,E
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0,0.16,1.19,75,46,8.6,113,M
Hitman 2: Silent Assassin,X,2002,Action,Eidos Interactive,0.76,0.38,0,0.05,1.19,84,23,8,19,M
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19,68,11,7.8,15,T
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.49,0.5,0.01,0.2,1.19,78,37,7.9,283,T
Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19,76,14,7.3,11,E
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19,76,32,7.9,17,E
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.08,1.19,87,54,8.2,148,M
Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,88,9,9.4,203,T
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0,0.09,1.18,77,23,7.7,36,E10+
Tony Hawks Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18,95,16,7.5,22,E
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.23,0.86,0.08,1.18,64,33,6.5,55,T
Gun,PS2,2005,Shooter,Activision,0.98,0.04,0,0.16,1.17,77,43,8.7,70,M
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0,0.15,1.17,70,14,8.8,60,E
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.4,0.48,0,0.29,1.17,76,8,7.6,11,E10+
Pok\xc3\xa9Park Wii: Pikachus Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,0.06,1.17,62,22,7.2,36,E
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.59,0.45,0,0.14,1.17,84,39,8.6,2779,M
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.24,0.36,0.1,1.17,52,36,4.9,222,M
WWE 12,PS3,2011,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,72,28,6.9,80,T
Cabelas Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0,0.15,1.17,57,4,8.4,37,T
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.48,0.01,0.2,1.17,81,38,8.1,55,T
Medal of Honor: Rising Sun,X,2003,Shooter,Electronic Arts,0.76,0.36,0,0.05,1.17,65,23,5.8,28,T
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74,43,7.3,118,M
Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.08,1.17,84,75,5.3,1715,E10+
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,81,43,8,31,E
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.56,0.33,0.18,0.09,1.16,73,73,7.5,182,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0,0.19,1.16,76,36,7.3,34,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0,0.16,1.16,85,19,8.9,55,E10+
Tom Clancys Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16,70,31,6.3,24,T
FIFA 14,XOne,2013,Sports,Electronic Arts,0.42,0.66,0,0.09,1.16,88,22,5.8,328,E
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,83,13,7.9,16,T
Mirrors Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.16,79,82,7.5,333,T
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,0.66,1.16,43,17,4.1,177,E10+
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0,0.15,1.16,85,17,8.5,22,E
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.36,0,0.1,1.16,77,13,7.6,21,E
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.59,0.45,0.01,0.1,1.16,53,43,5.4,438,M
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,88,41,8,238,T
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.5,0,0.12,1.16,45,39,5.8,89,M
Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,0.12,1.15,78,32,8.2,66,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15,83,29,8.1,30,E
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15,73,15,8.3,30,T
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15,69,20,7.3,30,T
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0,0.19,1.15,62,44,5.1,164,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,43,5,3.4,13,M
Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.21,1.15,86,37,6.8,230,
FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.16,0.67,0.01,0.31,1.15,83,9,7.9,14,E
Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,76,55,8.1,22,E
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,0.03,1.15,92,40,8.5,2376,M
Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0,0.15,1.15,68,28,9,28,E
Persona 4: Golden,PSV,2012,Role-Playing,Atlus,0.37,0.24,0.38,0.16,1.14,93,61,9.2,1240,M
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.64,0.4,0,0.1,1.14,81,89,7.7,1142,M
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38,M
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,91,77,9.1,948,T
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,81,12,8.5,17,E
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,56,36,7.1,50,E10+
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,88,46,7.5,156,M
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0,0.19,1.14,74,22,7.5,121,T
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,6.6,49,T
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14,76,27,9,21,E10+
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.32,0.53,0.13,0.16,1.14,69,50,7.7,600,T
The Lord of the Rings: The Return of the King,X,2003,Action,Electronic Arts,0.71,0.38,0,0.05,1.14,84,31,9.1,31,T
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,81,66,8.8,32,E
Alien: Isolation,PS4,2014,Shooter,Sega,0.35,0.57,0.04,0.18,1.14,79,50,8.1,800,M
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,73,15,8.8,32,T
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.45,0.33,0.29,0.07,1.13,87,79,8.7,666,E10+
MechAssault,X,2002,Simulation,Microsoft Game Studios,1.01,0.1,0,0.03,1.13,87,32,8,47,T
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.49,0.44,0.13,0.08,1.13,80,66,8.2,283,E10+
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.56,0.32,0.18,0.09,1.13,76,74,8,276,E10+
Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13,50,8,4.7,6,E
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13,67,25,6.1,31,E10+
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.23,0.7,0.03,0.17,1.13,83,37,6.6,367,E
Tom Clancys Rainbow Six 3: Black Arrow,X,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13,84,55,8.6,14,M
Rocksmith,PS3,2011,Misc,Ubisoft,0.53,0.36,0.09,0.15,1.13,80,27,8.3,52,T
Mirrors Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,79,66,7.8,366,T
Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0,0.11,1.13,85,69,6.8,108,T
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,73,51,8.6,210,E10+
SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0,0.12,1.13,82,48,5.9,15,T
Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12,57,15,7.6,9,E
Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.25,0.74,0,0.14,1.12,78,50,8.3,32,E10+
Rocksmith,X360,2011,Misc,Ubisoft,0.84,0.19,0.01,0.08,1.12,77,30,8.2,62,T
ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12,82,85,8.4,202,E
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Shooter,Sony Computer Entertainment,1.03,0,0.01,0.08,1.12,82,44,8.6,63,M
Call Of Duty 2: Big Red One,X,2005,Shooter,Activision,0.66,0.4,0,0.05,1.12,78,46,5.1,27,T
Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.3,0,0.54,1.12,71,4,2.6,10,T
Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,1.12,0,0,1.12,86,15,8,19,E
Yakuza 3,PS3,2009,Action,Sega,0.21,0.2,0.62,0.08,1.12,79,77,8.1,165,M
Spider-Man 2,X,2004,Action,Activision,0.82,0.26,0,0.04,1.12,83,60,8.3,40,T
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,1.12,70,91,6,202,M
The Beatles: Rock Band,PS3,2009,Misc,MTV Games,0.67,0.29,0,0.15,1.12,88,60,8.7,59,T
Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79,75,4.5,2382,M
Counter-Strike,X,2003,Shooter,Microsoft Game Studios,0.85,0.23,0,0.04,1.11,74,38,7.6,51,M
Guitar Hero Encore: Rocks The 80s,PS2,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11,69,50,6.3,31,T
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.49,0,0.18,1.11,84,52,7.3,95,M
Rock Band,PS2,2007,Misc,Electronic Arts,0.71,0.06,0,0.35,1.11,82,8,6.8,13,T
Tom Clancys Splinter Cell: Chaos Theory,X,2005,Action,Ubisoft,0.68,0.38,0,0.05,1.11,94,70,9,160,M
WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.37,0,0.1,1.11,75,43,7.7,100,T
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.41,0.51,0.01,0.18,1.1,88,62,7.7,629,M
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,85,62,7.9,472,M
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,0.9,0.12,0,0.08,1.1,81,23,7.4,29,E10+
Tales of Symphonia,GC,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1,86,60,8.5,181,T
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.53,0.45,0,0.12,1.1,61,16,6.9,14,E10+
GRID,PS3,2008,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87,39,8.1,110,E
Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,73,54,6.7,77,T
Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1,80,13,8.5,44,E
Sonic and the Black Knight,Wii,2009,Platform,Sega,0.64,0.34,0.01,0.11,1.09,54,51,6.9,199,E10+
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.52,0.48,0,0.09,1.09,69,6,7.3,122,E10+
NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0,0,0.08,1.09,77,18,5.8,74,E
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.59,0.32,0.09,0.09,1.09,86,74,8.4,340,T
Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77,34,8.1,52,M
Guitar Hero 5,PS3,2009,Misc,Activision,0.53,0.39,0,0.17,1.09,86,54,5.7,87,T
Sonic Free Riders,X360,2010,Racing,Sega,0.75,0.25,0,0.09,1.09,47,52,2.1,98,E
Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,Atari,0.78,0.29,0,0.02,1.09,75,21,8.9,39,E
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.91,0.09,0,0.09,1.09,66,13,4.4,7,E10+
NFL 2K1,DC,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,22,6,47,E
Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.09,68,51,7.6,58,T
Madden NFL 2004,X,2003,Sports,Electronic Arts,1.02,0.02,0,0.05,1.09,92,27,8.3,48,E
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75,56,8.3,99,M
Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09,65,32,8.3,33,T
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74,42,6.9,42,T
NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0,0,0.07,1.09,76,20,5.5,65,E
Skate 2,X360,2009,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84,70,7.9,73,T
Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0,0.1,1.09,90,62,6.9,2989,T
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0,0.14,1.08,88,15,8.9,77,E
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0,0.16,1.08,73,28,7.2,9,E10+
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,85,47,7.4,67,T
Dantes Inferno,PS3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75,69,7.5,267,M
Tom Clancys Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08,58,21,6,19,T
Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,0.43,0.4,0,0.24,1.08,70,10,8.1,49,T
Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari,0.77,0.29,0,0.02,1.08,40,23,6.1,22,T
Star Fox: Assault,GC,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,67,59,8.1,106,T
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.69,0,0.17,1.07,90,16,8.5,530,E10+
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0,0.3,1.07,59,7,6.7,15,T
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0,0.08,1.07,47,9,5,38,E
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0,0.12,1.07,73,17,7.3,8,E
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0,0.15,1.07,82,14,7.4,83,T
Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,85,59,7.3,246,T
The Biggest Loser,Wii,2009,Sports,THQ,0.86,0.12,0,0.09,1.07,74,5,8.1,32,E
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,85,77,7.1,167,T
Tomb Raider: Underworld,X360,2008,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,76,57,6.6,198,T
DJ Hero,X360,2009,Misc,Activision,0.57,0.39,0,0.11,1.07,84,72,8,42,T
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,76,29,7.8,36,E
Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.6,0.36,0,0.11,1.07,88,44,8.8,57,E
SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,86,57,8.4,96,T
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,66,62,5.9,556,T
World Tour Soccer,PSP,2005,Sports,Sony Computer Entertainment,0.1,0.63,0,0.34,1.07,70,31,5.6,5,E
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,75,32,8.6,95,T
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.07,90,77,7.3,146,M
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0,0.14,1.06,75,43,8.5,84,M
Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0,0.14,1.06,81,25,7.3,14,E
Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0.3,0,0.1,1.06,65,20,6.5,21,E
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0,0.21,1.06,89,21,8.4,188,M
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,80,56,8.3,156,T
Skylanders Giants,PS3,2012,Action,Activision,0.37,0.49,0,0.2,1.06,77,21,6.3,18,E10+
NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0,0.14,1.06,89,36,8.7,37,E
Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0,0.14,1.06,71,28,8.3,22,T
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.46,0.38,0.05,0.17,1.06,89,61,8.4,769,M
Endless Ocean,Wii,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,72,42,8.1,61,E
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,64,7.3,247,M
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0,0,1.06,87,21,9.1,645,M
Spider-Man 2,GBA,2004,Action,Activision,0.76,0.28,0,0.02,1.06,65,12,7.7,6,E
Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0,0.14,1.06,63,9,8.8,10,T
Darksiders,X360,2010,Action,THQ,0.67,0.28,0.01,0.1,1.06,83,81,7.9,293,M
